RDBMS_Type,RDBMS_Version,Native_Type,LT_Name,Logical_Type_ID
SQL Server,2012,INTEGER,"Integer",LOGDT011,
SQL Server,2012,MONEY,"MONEY",LOGDT043,
SQL Server,2012,NCHAR,"NCHAR",LOGDT035,
SQL Server,2012,NTEXT,"NTEXT",LOGDT036,
SQL Server,2012,NUMERIC,"NUMERIC",LOGDT019,
SQL Server,2012,NVARCHAR,"NVARCHAR",LOGDT037,
SQL Server,2012,REAL,"REAL",LOGDT022,
SQL Server,2012,SMALLDATETIME,"SMALLDATETIME",LOGDT038,
SQL Server,2012,SMALLINT,"SMALLINT",LOGDT018,
SQL Server,2012,SMALLMONEY,"SMALLMONEY",LOGDT044,
SQL Server,2012,SQL_VARIANT,"SQL_VARIANT",LOGDT045,
SQL Server,2012,XML,"XMLType",LOGDT050,
SQL Server,2012,SYSNAME,"SYSNAME",LOGDT039,
SQL Server,2012,TEXT,"TEXT",LOGDT040,
SQL Server,2012,TIME,"Time",LOGDT014,
SQL Server,2012,TIMESTAMP,"Timestamp",LOGDT015,
SQL Server,2012,TINYINT,"TINYINT",LOGDT042,
SQL Server,2012,VARBINARY,"VARBINARY",LOGDT041,
SQL Server,2012,VARCHAR,"VARCHAR",LOGDT024,
SQL Server,2012,UNIQUEIDENTIFIER,"UNIQUEIDENTIFIER",LOGDT057,
SQL Server,2008,BIGINT,"BIGINT",LOGDT027,
SQL Server,2008,BINARY,"BINARY",LOGDT033,
SQL Server,2008,BIT,"BIT",LOGDT034,
SQL Server,2008,CHAR,"CHAR",LOGDT025,
SQL Server,2008,DATE,"Date",LOGDT007,
SQL Server,2008,DATETIME,"Datetime",LOGDT008,
SQL Server,2008,DATETIME2,"DATETIME2",91229484-D19C-D458-8647-333C7FFE7B60,
SQL Server,2008,DECIMAL,"DECIMAL",LOGDT026,
SQL Server,2008,DOUBLE,"DOUBLE",LOGDT020,
SQL Server,2008,FLOAT,"FLOAT",LOGDT021,
SQL Server,2008,IMAGE,"Image",LOGDT010,
SQL Server,2008,INTEGER,"Integer",LOGDT011,
SQL Server,2008,MONEY,"MONEY",LOGDT043,
SQL Server,2008,NCHAR,"NCHAR",LOGDT035,
SQL Server,2008,NTEXT,"NTEXT",LOGDT036,
SQL Server,2008,NUMERIC,"NUMERIC",LOGDT019,
SQL Server,2008,NVARCHAR,"NVARCHAR",LOGDT037,
SQL Server,2008,REAL,"REAL",LOGDT022,
SQL Server,2008,SMALLDATETIME,"SMALLDATETIME",LOGDT038,
SQL Server,2008,SMALLINT,"SMALLINT",LOGDT018,
SQL Server,2008,SMALLMONEY,"SMALLMONEY",LOGDT044,
SQL Server,2008,SQL_VARIANT,"SQL_VARIANT",LOGDT045,
SQL Server,2008,XML,"XMLType",LOGDT050,
SQL Server,2008,SYSNAME,"SYSNAME",LOGDT039,
SQL Server,2008,TEXT,"TEXT",LOGDT040,
SQL Server,2008,TIME,"Time",LOGDT014,
SQL Server,2008,TIMESTAMP,"Timestamp",LOGDT015,
SQL Server,2008,TINYINT,"TINYINT",LOGDT042,
SQL Server,2008,VARBINARY,"VARBINARY",LOGDT041,
SQL Server,2008,VARCHAR,"VARCHAR",LOGDT024,
SQL Server,2008,UNIQUEIDENTIFIER,"UNIQUEIDENTIFIER",LOGDT057,
SQL Server,2005,BIGINT,"BIGINT",LOGDT027,
SQL Server,2005,BINARY,"BINARY",LOGDT033,
SQL Server,2005,BIT,"BIT",LOGDT034,
SQL Server,2005,CHAR,"CHAR",LOGDT025,
SQL Server,2005,DATE,"Date",LOGDT007,
SQL Server,2005,DATETIME,"Datetime",LOGDT008,
SQL Server,2005,DECIMAL,"DECIMAL",LOGDT026,
SQL Server,2005,DOUBLE,"DOUBLE",LOGDT020,
SQL Server,2005,FLOAT,"FLOAT",LOGDT021,
SQL Server,2005,IMAGE,"Image",LOGDT010,
SQL Server,2005,INTEGER,"Integer",LOGDT011,
SQL Server,2005,MONEY,"MONEY",LOGDT043,
SQL Server,2005,NCHAR,"NCHAR",LOGDT035,
